id;city;country;country_id;type_of_violence;event_UCDP_id;weapon/method;side_a;side_a_identity;side_a_gender;side_a_age;side_b;side_b_identity;side_b_gender;side_b_age;additional_actors;cr_clarity;sources;sources_original;date_start;date_end;date_precision;time;where;neighbourhood/area;admin_area;latitude;longitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;injuries_total;injuries_a;injuries_b;injuries_others;injuries_unknown
BEN13071901_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"AFP - 19 July 2013: ""Gunman kill air force officer in Libya's Benghazi: security.""";Security official;2013-07-19;2013-07-19;1;unknown;Al-Guarsha [Al-Qawersha] district;;;32,01451;20,048174;3: neighbourhood ;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13072301_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;Police;Government;unknown;unknown;no;2: medium;"All Africa- 26 July: ""Eastern Libya faces wave of insecurity."" // ANSA English - 26 July 2013: ""Libya: three wounded in Benghazi police station bombing.""";Security official;2013-07-23;2013-07-23;1;Early morning;Birkah police station;;;32,064616;20,103531;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;NA;3;0;0;0;3
BEN13072601_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"Human Rights Watch - 8 August 2013: ""Libya: Wave of Political Assassinations Lack of Accountability Risks Escalating Violence."" // AFP: ""Prominent Libyan activist assassinated: security.""";HRW;2013-07-26;2013-07-26;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13072602_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"Human Rights Watch - 8 August 2013: ""Libya: Wave of Political Assassinations Lack of Accountability Risks Escalating Violence."" // AFP: ""Prominent Libyan activist assassinated: security.""";HRW;2013-07-26;2013-07-26;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13072603_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Political activist;Opposition;male;unknown;no;2: medium;"AFP: ""Prominent Libyan activist assassinated: security."" // Human Rights Watch - 26 July 2013: ""Libya: Investigate Killing of Political Activist; Wave of Assassinations in Benghazi""";Police spokesperson;2013-07-26;2013-07-26;1;13:30;Near Albirka’s Abu Ghoula mosque;;;32,071224;20,119146;3: neighbourhood ;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13072801_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;civilian;civilians;unknown;unknown;no;2: medium;"Aljazeera - 29 July 2013: ""Clashes erupt in Benghazi after blasts."" // AFP - 31 July 2013: ""Bomb wounds former policeman in Libya's Benghazi.""";News;2013-07-28;2013-07-28;1;unknown;Outside courthouse;;;32,101175;20,091441;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;NA;13;0;0;0;13
BEN13072901_00;Benghazi;Libya;620;clash;NA;firearms;militia;militia;unknown;unknown;Military special forces;Government;unknown;unknown;no;1: high;"Aljazeera - 29 July 2013: ""Clashes erupt in Benghazi after blasts.""";Security official;2013-07-29;2013-07-29;1;unknown;western Gwesha district;;;32,034385;20,056738;3: neighbourhood ;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13072902_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;Military;Government;unknown;unknown;no;2: medium;"Xinhua - 30 July 2013: ""News analysis: Bolstering security top priority for Libyan interim gov't."" // BBC Monitoring Newsfile - 29 July 2013: ""One person seriously wounded in army vehicle explosion in Libya's Benghazi.""";Security source;2013-07-29;2013-07-29;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;0;0;0;0;0;0;NA;1;0;0;0;1
BEN13073001_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"Human Rights Watch - 8 August 2013: ""Libya: Wave of Political Assassinations Lack of Accountability Risks Escalating Violence."" // AFP - 31 July 2013: ""Bomb wounds former policeman in Libya's Benghazi.""";Security source;2013-07-30;2013-07-30;1;unknown;A central district of Benghazi, targeted victim's home;;;32,103111;20,080045;4: sub-city admin area;0;1;0;0;1;1;1;1 male;1;0;0;1;0
BEN13080101_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"AFP - 1 August 2013: ""Libya army colonel shot dead: security official.""";Security official;2013-08-01;2013-08-01;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN13080201_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;Police;Government;unknown;unknown;no;2: medium;"Reuters - 2 August 2013: ""Five wounded in blast at Benghazi police station."" // AFP - 2 August 2013: ""Blast at police station in Libya's Benghazi wounds five.""";Security official;2013-08-02;2013-08-02;1;unknown;Ras Ubeid police station Sidi Hussein [Hassan] neighbourhood;;;32,111196;20,074155;3: neighbourhood ;0;0;0;0;0;0;0;NA;5;0;0;0;5
BEN13080301_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"Dow Jones - 3 August 2013: ""Senior Libyan Policeman Wounded by Car Bomb."" // AFP - 3 August 2013: ""Senior Libya policeman wounded by car bomb.""";Security official;2013-08-03;2013-08-03;1;night;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13080401_00;Benghazi;Libya;620;attack;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"BBC Monitoring Middle East - 5 August 2013: ""Benghazi, 5 August The former chief of staff of the Libyan army, Maj-Gen Salim al-Qinaydi, was
struck with gunfire in one of his legs following an attack yesterday by armed groups that fired a hail
of bullets at the vehicle he was travelling in after leaving the staff headquarters in Tripoli and was
heading towards the city of Al-Zawiya.

TD

The commander of the media centre at the general staff offices in Benghazi, Col Ahmad Dramish,
said that Gen Al-Qinaydi was now enjoying good health after receiving initial ambulance treatment and the necessary treatment for the injury that he sustained.""";Security source;2013-08-04;2013-08-04;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN13080901_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Journalist;Media;male;unknown;no;2: medium;"The Guardian - 14 August 2013: ""Libyan journalist shot as militants target media in Benghazi.""";News;2013-08-09;2013-08-09;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13081301_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"AFP - 13 August 2013: ""Libya army colonel escapes 'assassination bid'""";Security official;2013-08-13;2013-08-04;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN13081901_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Former Judge;Government;male;79;no;2: medium;"Morocco World News - 19 August 2013: ""Ex-judge gunned down in Libya's Benghazi."" // News24 - 19 August 2013: ""Ex-judge gunned down in Benghazi.""";Security official;2013-08-19;2013-08-19;1;morning;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13082201_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;armed group;militia;unknown;unknown;no;2: medium;"AP - 23 August 2013: ""Gunmen in Libya kill senior criminal investigator in latest of a string of targeted killings.""";Security official;2013-08-22;2013-08-22;1;unknown;Abu Surra suburb;;Western Benghazi;32,091829;20,065697;3: neighbourhood ;0;0;0;1;1;1;1;unknown;2;0;0;0;2
BEN13082301_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Police;Government;male;unknown;no;2: medium;"AFP - 23 August 2013: ""Libyan army colonel gunned down in Benghazi: security."" // AP - 23 August 2013: ""Gunmen in Libya kill senior criminal investigator in latest of a string of targeted killings.""";Security official;2013-08-23;2013-08-23;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13082901_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"AFP - 29 August 2013: ""Libyan prosecutor probing Kadhafi-era officials killed: security."" // The Majallah - 5 September 2013: ""Too Little, Too Late?"" // ANSA (Agenzia Nazionale Stampa Associata) - 29 August 2013: ""Libya: military prosecutor killed by car bomb in Benghazi.""";Security official;2013-08-29;2013-08-29;1;unknown;Lity [Leithi] neighborhood;;;32,092619;20,132814;3: neighbourhood ;0;1;1;0;2;2;1;2 male;0;0;0;0;0
BEN13091001_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Police;Government;male;unknown;no;2: medium;"Reuters - 10 September 2013: ""Blast in Libya's Benghazi kills police colonel.""";Security official;2013-09-10;2013-09-10;1;unknown;Assalam [Hai Assalam] neighbourhood;;;32,147755;20,120686;3: neighbourhood ;0;1;0;0;1;1;1;1 male;1;0;1;0;0
BEN13091101_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;Foreign Ministry;Government;unknown;unknown;no;2: medium;"FARS News Agency - 11 September 2013: ""Libya: Blast Hits Foreign Ministry in Benghazi."" // Sky News - 11 September 2013: ""Libya: Car Bomb Blast Shakes Benghazi."" // BBC Monitoring Middle East - 11 September 2013: ""Libyan premier addresses media after Benghazi blast.""";Minister;2013-09-11;2013-09-11;1;06:00;Ministry of Foreign Affairs, near the central bank building;23rd July Road;;32,115055;20,060109;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;NA;2;0;2;0;0
BEN13091401_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;civilian;unknown;male;unknown;no;3: low;"BBC Monitoring Middle East - 16 September 2013: ""Army patrol vehicle, lawyer's car explode in Libya's Benghazi.""";TV report;2013-09-14;2013-09-14;1;unknown;Airport Road;;;32,098591;20,193992;4: sub-city admin area;0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13091601_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Security forces;Government;male;unknown;no;2: medium;"BBC Monitoring Middle East - 17 September 2013: """"Unknown assailants"" kill Libyan security official in attack on military vehicle."" // ";News;2013-09-16;2013-09-16;1;evening;Al-Quwarshah [Al Qawarishah] neighbourhood;;;32,03212;20,0619;3: neighbourhood ;0;1;0;0;1;1;1;1 male;1;0;0;1;0
BEN13091602_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;militia;First Infantry Brigade;male;unknown;no;2: medium;"BBC Monitoring Middle East - 16 September 2013: ""Army patrol vehicle, lawyer's car explode in Libya's Benghazi.""";TV report;2013-09-16;2013-09-16;1;11:30;near the al-jara roundabout;;;32,118852;20,088755;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN13091701_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Police;Government;male;unknown;no;2: medium;"AP - 17 September 2013: ""Car bomb kills head of Libya's criminal investigations unit in east in latest attack on police."" // AFP - 17 September 2013: ""Bomber kills policeman in Libya's Benghazi.""";Hospital;2013-09-17;2013-07-17;1;afternoon;el-Selmani neighborhood;;;32,118196;20,08964;3: neighbourhood ;0;1;0;0;1;1;1;1 male;1;0;0;1;0
BEN13092901_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"AFP - 29 September 2013: ""Three army, police officers killed in Libya's Benghazi."" // AP - 29 September 2013: ""3 Libyan army officers assassinated in Benghazi."" // All Africa - 21 October 2013: ""Terrorists hijack Libyan revolution.""";Security official;29-sep-13;29-sep-13;1;noon;Ardh al-Sharif, near Zamzam market;;;32,121817;20,126075;2: within a small radius of an exact location (e.g. “near the town hall”);0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN13092902_00;Benghazi;Libya;620;assassination/murder;NA;Explosives;unknown;unknown;unknown;unknown;Police;Government;male;unknown;no;2: medium;"AFP - 29 September 2013: ""Three army, police officers killed in Libya's Benghazi."" // AP - 29 September 2013: ""3 Libyan army officers assassinated in Benghazi."" // All Africa - 21 October 2013: ""Terrorists hijack Libyan revolution.""";Security official;2013-09-29;2013-09-29;1;unknown;Benghazi;;;32,107663;20,099349;5: city-level precision only;0;1;0;0;1;1;1;1 male;0;0;0;0;0
